STOK KODU,STOK ADI,SEKTÖR ADI,MARKA,BARKOD 1,ÜRÜN GRUP KODU,AKS,CİNSİYET,UNIQ KOD,UNIQ ADI
BNR000000001,NR FH NEW EDPI-25-100ML + GWP,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,8684024803049,1-PA-00,PARFÜM,KADIN,,
BNR30538500000,AMBREE EDP 50 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423473053859,1-PA-00,PARFÜM,KADIN,NR0000000027,AMBREE EDP 50 ML
BNR30539500000,AMBREE EDP 90 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423473053958,1-PA-00,PARFÜM,KADIN,NR0000000026,AMBREE EDP 90 ML
BNR3055750,NARCISO FOR HER 2020 XMAS SET B (EDT100+10+BL50),SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423473055754,1-PA-00,PARFÜM,KADIN,,
BNR3056150,NARCISO FOR HER 2020 XMAS SET D (EDP100+10+BL50),SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423473056157,1-PA-00,PARFÜM,KADIN,,
BNR3056350,NARCISO FOR HER 2020 XMAS SET F (EDPPM100+10+BL50),SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423473056355,1-PA-00,PARFÜM,KADIN,,
BNR515577649,NARCISO FOR HER EDT LIM EDIT 100,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423470890105,1-PA-00,PARFÜM,KADIN,,
BNR515767309,NARCISO FOR HER RIBBON EDP 100 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423470890532,1-PA-00,PARFÜM,KADIN,,
BNR82000066102,PATCHOULI MUSC EDP INTENSE 100 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423220004073,1-PB,PARFÜM,UNISEX,NR0000000088,PATCHOULI MUSC EDP INTENSE 100 ML
BNR82000177101,NR FH EDT XMAS21 SETB 100 ML+BL50 ML+PS10 ML,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222005887,1-PA-00,PARFÜM,KADIN,,
BNR82000180101,NR FH EDP-XMS21-SETD-100ML+BL50ML+PS10ML,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222005917,1-PA-00,PARFÜM,KADIN,,
BNR82000181101,NR FH PURE MUSC EDP XMAS21 SETF 100ML+BL50+PS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222005924,1-PA-00,PARFÜM,KADIN,,
BNR82000185101,NR POUDREE EDP XMAS2021 SETB 90 ML+BL50 ML+PS10 ML,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222005962,1-PA-00,PARFÜM,KADIN,,
BNR82000189101,JASMINE MUSC EDP INTENSE 100 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222005672,1-PB,PARFÜM,UNISEX,NR0000000082,JASMINE MUSC EDP INTENSE 100 ML
BNR82000213101,FOR HER MUSC NOIR EDP 50 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222012687,1-PA-00,PARFÜM,KADIN,NR0000000013,FOR HER MUSC NOIR EDP 50 ML
BNR82000215101,FOR HER MUSC NOIR EDP 100 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222012700,1-PA-00,PARFÜM,KADIN,NR0000000012,FOR HER MUSC NOIR EDP 100 ML
BNR82000238,NARCISO FOR HER EDT MD21 SETB 100+BL50+FHEDT PS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222012939,1-PA-00,PARFÜM,KADIN,,
BNR82000239,NARCISO FOR HER EDP MD21 SETC 100+BL50+FHEDP PS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222012946,1-PA-00,PARFÜM,KADIN,,
BNR82000244,NR FH BLUE NOIR EDP FD/XAMS 100ML+SG50ML+PS10ML,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222012991,1-PA-00,PARFÜM,ERKEK,,
BNR82000353101,FOR HER MUSC NOIR ROSE EDP 50 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222055523,1-PA-00,PARFÜM,KADIN,NR0000000015,FOR HER MUSC NOIR ROSE EDP 50 ML
BNR82000355101,FOR HER MUSC NOIR ROSE EDP 100 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222055547,1-PA-00,PARFÜM,KADIN,NR0000000014,FOR HER MUSC NOIR ROSE EDP 100 ML
BNR82000362101,CRISTAL EDP 50 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222055615,1-PA-00,PARFÜM,KADIN,NR0000000060,CRISTAL EDP 50 ML
BNR82000364101,CRISTAL EDP 90 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222055639,1-PA-00,PARFÜM,KADIN,NR0000000059,CRISTAL EDP 90 ML
BNR82000376101,NR NNP EDP-SPG22-SPAC-90ML+NNP PS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222055752,1-PA-00,PARFÜM,KADIN,,
BNR82000378101,NR FH EDT-MD22-SETB-100+BL50+ FHEDT PS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222055776,1-PA-00,PARFÜM,KADIN,,
BNR82000379101,NR FH EDP-MD22-SETC-100+BL50+ FHEDP PS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222055783,1-PA-00,PARFÜM,KADIN,,
BNR82000380101,NR FHPM EDP-MD22-SETD-100+BL50+ PM PS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222055790,1-PA-00,PARFÜM,KADIN,,
BNR82000389101,NR FH EDT-XMS22-SETB-100+BL50+FHEDT PS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222055882,1-PA-00,PARFÜM,KADIN,,
BNR82000392101,NR FH EDP-XMS22-SETD-100+BL50+FHEDP PS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222055912,1-PA-00,PARFÜM,KADIN,,
BNR82000394101,NRFHPMEDP-XMS22-SETF-100+BL50+PMEDPPS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222055936,1-PA-00,PARFÜM,KADIN,,
BNR82000404101,NR FH EDT-XMS22-SET50ML+PM10ML-APREUR,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222056032,1-PA-00,PARFÜM,KADIN,,
BNR82000407101,FOR HIM BLEU NOIR PARFUM 50 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222056063,1-PA-00,PARFÜM,ERKEK,NR0000000034,FOR HIM BLEU NOIR PARFUM 50 ML
BNR82000408101,FOR HIM BLEU NOIR PARFUM 100 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222056070,1-PA-00,PARFÜM,ERKEK,NR0000000033,FOR HIM BLEU NOIR PARFUM 100 ML
BNR82000508101,NR FH EDT- MD22 50ML+BOUG 70ML APR SEPHO,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222077624,1-PA-00,PARFÜM,KADIN,,
BNR82000514101,ALL OF ME SHOWER GEL 200 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222081416,1-PA-01,PARFÜM,KADIN,NR0000000070,ALL OF ME SHOWER GEL 200 ML
BNR82000515101,ALL OF ME BODY LOTION 200 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222081409,1-PA-00,PARFÜM,KADIN,NR0000000069,ALL OF ME BODY LOTION 200 ML
BNR82000518101,ALL OF ME 90 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222080969,1-PA-00,PARFÜM,KADIN,NR0000000063,ALL OF ME 90 ML
BNR82000519101,NR ALL OF ME EDP-23 50ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222080952,1-PA-00,PARFÜM,KADIN,NR0000000064,ALL OF ME 50 ML
BNR82000549101,NARCISO FOR HER FOREVER EDP 50 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222092245,1-PA-00,PARFÜM,KADIN,NR0000000062,FOR HER FOREVER 50 ML
BNR82000550101,NARCISO FOR HER FOREVER EDP 100 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222092252,1-PA-00,PARFÜM,KADIN,NR0000000061,FOR HER FOREVER 100 ML
BNR82000569101,NR FH EDT-XMS23-SETB-100+BL50+FHEDTPS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222092443,1-PA-00,PARFÜM,KADIN,,
BNR82000572101,NR FH EDP-XMS23-SETD-100+BL50+FHEDPPS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222092474,1-PA-00,PARFÜM,KADIN,,
BNR82000573101,NR FHPM EDP-XMS23-SETE-100+BL50+FHPMPS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222092481,1-PA-00,PARFÜM,KADIN,,
BNR82000578101,NR C3 EDP-XMS23-SETB-90ML+BL50+C3EDPPS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222092535,1-PA-00,PARFÜM,KADIN,,
BNR82000579101,NR FH EDT-XMS23-50ML+PMEDPPS10-APR SEPHO,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222092542,1-PA-00,PARFÜM,KADIN,,
BNR82000590101,NR NNP EDP-SPG23-SPAC-90ML+ NNP PS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222092658,1-PA-00,PARFÜM,KADIN,,
BNR82000592101,NR FH EDT-MD23-SETB-100+BL50+FHEDT PS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222092672,1-PA-00,PARFÜM,KADIN,,
BNR82000593101,NR FH EDP-MD23-SETC-100+BL50+FHEDP PS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222092689,1-PA-00,PARFÜM,KADIN,,
BNR82000594101,NR FHPM EDP-MD23-SETD-100+BL50+FHPM EDP,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222092696,1-PA-00,PARFÜM,KADIN,,
BNR82000734101,NR FH MUSC NUDE EDP-24-50ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222107611,1-PA-00,PARFÜM,KADIN,NR0000000066,FOR HER MUSC NUDE EDP 50 ML
BNR82000736101,NR FH MUSC NUDE EDP-24-100ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222107635,1-PA-00,PARFÜM,KADIN,NR0000000065,FOR HER MUSC NUDE EDP 100 ML
BNR82000745101,FOR HIM VETIVER MUSC EDT 50 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222107727,1-PA-00,PARFÜM,ERKEK,NR0000000068,FOR HIM VETIVER MUSC EDT 50 ML
BNR82000747101,FOR HIM VETIVER MUSC EDT 100 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222107741,1-PA-00,PARFÜM,ERKEK,NR0000000067,FOR HIM VETIVER MUSC EDT 100 ML
BNR82000751101,NR MC WILD TUBEROSE EDPI  100 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222107789,1-PB,PARFÜM,UNISEX,NR0000000091,NR MC MO7 - WILD TUBEROSE EDPI 100 ML
BNR82000752101,NR MC ROSE EPICEE EDPI 100 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222107796,1-PB,PARFÜM,UNISEX,NR0000000089,NR MC MO8 - ROSE EPICEE EDPI 100 ML
BNR82000753101,NR MC RADIANT MAGNOLIA EDPI 100 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222107802,1-PB,PARFÜM,UNISEX,NR0000000090,NR MC MO9 - RADIANT MAGNOLIA EDPI 100 ML
BNR82000761101,NR FH EDT-MD24-SETB-100+BL50+FHEDT PS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222107888,1-PA-00,PARFÜM,KADIN,,
BNR82000762101,NR FH EDP-MD24-SETC-100+BL50+FHEDP PS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222107895,1-PA-00,PARFÜM,KADIN,,
BNR82000763101,NR FHPM EDP-MD24-SETD-100+BL50+FHPM EDP,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222107901,1-PA-00,PARFÜM,KADIN,,
BNR82000765101,NR NHBN EDP-FD-XMS24-100+SG50+NHBN EDP P,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222107925,1-PA-00,PARFÜM,ERKEK,,
BNR82000772101,NN 2024 SHOPPING PACK EDP POUDREE 90ML +,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222107994,1-PA-00,PARFÜM,KADIN,,
BNR82000781101,ALL OF ME INTENSE EDP 50 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222108267,1-PA-00,PARFÜM,KADIN,NR0000000078,ALL OF ME INTENSE EDP 50 ML
BNR82000783101,ALL OF ME INTENSE EDP 90 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222108281,1-PA-00,PARFÜM,KADIN,NR0000000077,ALL OF ME INTENSE EDP 90 ML
BNR82000790101,ALL OF ME HAIR MIST EDP 30 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222108359,1-PA-00,PARFÜM,KADIN,NR0000000079,ALL OF ME HAIR MIST EDP 30 ML
BNR82000794101,NR C3 EDP-MD24-SETB-90ML+BL50+PS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222108397,1-PA-00,PARFÜM,KADIN,,
BNR82000823101,NR FH EDT-XMS24-SETB-100+BL50+FHEDTPS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222110741,1-PA-00,PARFÜM,KADIN,,
BNR82000825101,NR FH EDP-XMS24-SETD-100+BL50+FHEDPPS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222110765,1-PA-00,PARFÜM,KADIN,,
BNR82000826101,NR FHPM EDP-XMS24-SETE-100+BL50+FHPMPS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222110772,1-PA-00,PARFÜM,KADIN,,
BNR82000828101,NRFHNEWEDP-XMS24-SETG-100ML+BL50+PSNEW10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222110796,1-PA-00,PARFÜM,KADIN,,
BNR82000829101,NR NNP EDP-XMS24-SETA-50ML+BL50+SG50,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222110802,1-PA-00,PARFÜM,KADIN,,
BNR82000831101,NR FH EDT-XMS24-50ML+ PM PS10 -APR SEPHO,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222110826,1-PA-00,PARFÜM,KADIN,,
BNR82000835101,NR C3 EDP-XMS24-SETB-90ML+BL50+C3EDPS10,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222110864,1-PA-00,PARFÜM,KADIN,,
BNR82000837101,NR C3 EDP-XMS24-50ML+C3 PS10-APR SEPHO,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222110888,1-PA-00,PARFÜM,KADIN,,
BNR82000897101,NR FH EDT 50ML + PM PS10 - APR SEPHO,SELEKTIF ÇOKLU,NARCISO RODRIGUEZ,3423222117160,1-PA-00,PARFÜM,KADIN,,
BNR82000914101,FOR HER EDP INTENSE 50 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222121273,1-PA-00,PARFÜM,KADIN,NR0000000074,FOR HER EDP INTENSE 50 ML
BNR82000916101,FOR HER EDP INTENSE 100 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222121297,1-PA-00,PARFÜM,KADIN,NR0000000073,FOR HER EDP INTENSE 100 ML
BNR82000924101,SAFRAN MUSC EDP INTENSE 100 ML,SELEKTIF TEKLİ,NARCISO RODRIGUEZ,3423222121570,1-PB,PARFÜM,UNISEX,NR0000000087,SAFRAN MUSC EDP INTENSE 100 ML
