,,,,,,,,,,,,,,,
MARKA,Ürün Adı,BARKOD-1,REFERANS-1,BARKOD-2,REFERANS-2,BARKOD-3,REFERANS-3,BARKOD-4,REFERANS-4,BARKOD-5,REFERANS-5,BARKOD-6,REFERANS-6,UNIQ KOD,UNIQ ÜRÜN ADI
RABANNE,PACO RABANNE,,,,,,,,,,,,,,
RABANNE,1 MILLION ,,,,,,,,,,,,,,
RABANNE,1 MILLION EDT 200 ML,3349668566372,PPR65135969,,,,,,,,,,, PPR000000006, 1 MILLION EDT 200 ML
RABANNE,1 MILLION EDT 100 ML,3349666007921,PPR65051844,,,,,,,,,,, PPR000000010, 1 MILLION EDT 100 ML 
RABANNE,1 MILLION EDT 50 ML,3349666007891,PPR65051845,3349668612598,PPR65187136,,,,,,,,, PPR000000011, 1 MILLION EDT 50 ML
RABANNE,1 MILLION EDT DEO SPRAY 150 ML,3349668530502,PPR65096966,,,,,,,,,,, PPR000000012, 1 MILLION EDT DEO SPRAY 150 ML
RABANNE,1 MILLION EDT 30ML,3349668677405,PPR65249453,,,,,,,,,,,,
RABANNE,1 MILLION EDT DEO STICK 75 GR,3349666007990,PPR65102224,,,,,,,,,,, PPR000000013, 1 MILLION EDT DEO STICK 75 GR
RABANNE,1 MILLION PARFUM,,,,,,,,,,,,,,
RABANNE,1 MILLION PARFUM 200 ML,3349668581948,PPR65158198,,,,,,,,,,, PPR000000014, 1 MILLION PARFUM 200 ML
RABANNE,1 MILLION PARFUM 100 ML,3349668579839,PPR65156001,,,,,,,,,,, PPR000000015, 1 MILLION PARFUM 100 ML
RABANNE,1 MILLION PARFUM 50 ML,3349668579822,PPR65156000,,,,,,,,,,, PPR000000016, 1 MILLION PARFUM 50 ML
RABANNE,1 MILLION BLACK,,,,,,,,,,,,,,
RABANNE,1 MILLION BLACK 200 ML,3349668672974,PPR65246130,,,,,,,,,,,,
RABANNE,1 MILLION BLACK 100 ML,3349668672967,PPR65246128,,,,,,,,,,,,
RABANNE,1 MILLION BLACK 50 ML,3349668672950,PPR65246127,,,,,,,,,,,,
RABANNE,1 MILLION ELIXIR,,,,,,,,,,,,,,
RABANNE,1 MILLION ELIXIR PARFUM INTENSE 100 ML,3349668600304,PPR65177273,,,,,,,,,,, PPR000000103, 1 MILLION ELIXIR PARFUM INTENSE 100 ML
RABANNE,1 MILLION ELIXIR PARFUM INTENSE 50 ML,3349668601073,PPR65177464,,,,,,,,,,, PPR000000104, 1 MILLION ELIXIR PARFUM INTENSE 50 ML
RABANNE,1 MILLION ROYAL,,,,,,,,,,,,,,
RABANNE,1 MILLION ROYAL PARFUM 100 ML,3349668617050,PPR65190440,,,,,,,,,,, PPR000000113, 1 MILLION ROYAL PARFUM 100 ML
RABANNE,1 MILLION ROYAL PARFUM 50 ML,3349668617043,PPR65190439,,,,,,,,,,, PPR000000114, 1 MILLION ROYAL PARFUM 50 ML
RABANNE,1 MILLION NIGHT ELIXIR,,,,,,,,,,,,,,
RABANNE,1 MILLION NIGHT ELIXIR 100 ML,3349668662388,PPR65228314,,,,,,,,,,,,
RABANNE,1 MILLION NIGHT ELIXIR 50 ML,3349668662289,PPR65228304,,,,,,,,,,,,
RABANNE,MILLION GOLD,,,,,,,,,,,,,,
RABANNE,MILLION GOLD EDP INTENSE 100 ML,3349668630349,PPR65200311,,,,,,,,,,, PPR000000138, MILLION GOLD RE24 EDP INTENSE 100 ML
RABANNE,MILLION GOLD EDP INTENSE 50 ML,3349668630332,PPR65200310,,,,,,,,,,, PPR000000139, MILLION GOLD RE24 EDP INTENSE 50 ML
RABANNE,MILLION GOLD RE25,,,,,,,,,,,,,,
RABANNE,MILLION GOLD ELIXIR 200 ML,3349668644940,PPR65215778,,,,,,,,,,, PPR000000143, MILLION GOLD RE25 200 ML
RABANNE,MILLION GOLD ELIXIR 100 ML,3349668644933,PPR65215777,,,,,,,,,,, PPR000000144, MILLION GOLD RE25 100 ML
RABANNE,MILLION GOLD ELIXIR 50 ML,3349668644957,PPR65215779,,,,,,,,,,, PPR000000145, MILLION GOLD RE25 50 ML
RABANNE,LADY MILLION,,,,,,,,,,,,,,
RABANNE,LADY MILLION EDP 80 ML,3349668508587,PPR65051781,,,,,,,,,,, PPR000000017, LADY MILLION EDP 80 ML
RABANNE,LADY MILLION EDP 50 ML,3349668508488,PPR65051774,3349668612604,PPR65187137,,,,,,,,, PPR000000018, LADY MILLION EDP 50 ML
RABANNE,LADY MILLION EDP DEO SPRAY 150 ML,3349668508525,PPR65051776,3349668589999,PPR65165725,,,,,,,,, PPR000000002, LADY MILLION EDP DEO SPRAY 150 ML
RABANNE,LADY MILLION ROYAL,,,,,,,,,,,,,,
RABANNE,LADY MILLION ROYAL EDP 80 ML,3349668617173,PPR65190452,,,,,,,,,,, PPR000000115, LADY MILLION ROYAL EDP 80 ML
RABANNE,LADY MILLION ROYAL EDP 50 ML,3349668617166,PPR65190451,,,,,,,,,,, PPR000000116, LADY MILLION ROYAL EDP 50 ML
RABANNE,MILLION FOR HER,,,,,,,,,,,,,,
RABANNE,MILLION FOR HER EDP 90 ML,3349668630264,PPR65200303,,,,,,,,,,, PPR000000141, MILLION FOR HER 2024 EDP 90 ML REFILLABLE
RABANNE,MILLION FOR HER EDP 50 ML,3349668630257,PPR65200302,,,,,,,,,,, PPR000000140, MILLION FOR HER 2024 EDP 50 ML REFILLABLE
RABANNE,MILLION FOR HER DEO SPRAY 150 ML,3349668637980,PPR65212353,,,,,,,,,,, PPR000000142, MILLION FOR HER 2024 EDP 150 ML DEO SPRAY
RABANNE,MILLION GOLD FOR HER,,,,,,,,,,,,,,
RABANNE,MILLION FOR HER 90 ML REFILL,3349668645206,PPR65215864,,,,,,,,,,, PPR000000146, MILLION FOR HER 90 ML REFILL
RABANNE,MILLION FOR HER 50 ML REFILL,3349668645213,PPR65215865,,,,,,,,,,, PPR000000147, MILLION FOR HER 50 ML REFILL
RABANNE,MILLION GOLD FOR HER ELIXIR,,,,,,,,,,,,,,
RABANNE,MILLION GOLD FOR HER ELIXIR 90 ML,3349668664870,PPR65229932,,,,,,,,,,,,
RABANNE,MILLION GOLD FOR HER ELIXIR 50 ML,3349668664887,PPR65229933,,,,,,,,,,,,
RABANNE,INVICTUS,,,,,,,,,,,,,,
RABANNE,INVICTUS EDT 200 ML,3349668589678,PPR65165373,,,,,,,,,,, PPR000000029, INVICTUS EDT 200 ML
RABANNE,INVICTUS EDT 100 ML,3349668515660,PPR65055742,,,,,,,,,,, PPR000000031, INVICTUS EDT 100 ML
RABANNE,INVICTUS EDT 50 ML,3349668515653,PPR65055741,,,,,,,,,,, PPR000000032, INVICTUS EDT 50 ML
RABANNE,INVICTUS EDT DEO SPRAY 150 ML,3349668530564,PPR65096983,,,,,,,,,,, PPR000000034, INVICTUS EDT DEO SPRAY 150 ML
RABANNE,INVICTUS EDT DEO STICK 75 GR,3349668515752,PPR65055751,,,,,,,,,,, PPR000000035, INVICTUS EDT DEO STICK 75 GR
RABANNE,INVICTUS VICTORY,,,,,,,,,,,,,,
RABANNE,INVICTUS VICTORY EDP 100 ML,3349668588732,PPR65164673,,,,,,,,,,, PPR000000036, INVICTUS VICTORY EDP 100 ML
RABANNE,INVICTUS VICTORY EDP 50 ML,3349668588749,PPR65164674,,,,,,,,,,, PPR000000037, INVICTUS VICTORY EDP 50 ML
RABANNE,INVICTUS VICTORY ELIXIR,,,,,,,,,,,,,,
